ID	chr	circ_start	circ_end	circ_strand	splice_L	circ_type	e_count	e_sizes	e_offsets	b_transcript	b_strand	b_trans_start	b_trans_end	b_gene
chr1:21083659-21100103	chr1	21083659	21100103	-	630	exonic	5	90,155,81,144,160	0,8210,10417,13763,16284	ENST00000312239.10_2	-	21069171	21113145	HP1BP3
chr1:21083659-21103243	chr1	21083659	21103243	-	784	exonic	6	90,155,81,144,160,154	0,8210,10417,13763,16284,19430	ENST00000312239.10_2	-	21069171	21113145	HP1BP3
chr1:21091870-21103243	chr1	21091870	21103243	-	693	exonic	5	154,81,144,160,154	0,2206,5552,8073,11219	ENST00000312239.10_2	-	21069171	21113145	HP1BP3
chr1:21097423-21100103	chr1	21097423	21100103	-	303	exonic	2	143,160	0,2520	ENST00000312239.10_2	-	21069171	21113145	HP1BP3
chr1:21220010-21268823	chr1	21220010	21268823	-	1429	exonic	5	119,134,247,89,840	0,1850,6179,11365,47973	ENST00000602326.5_1	-	21132975	21503343	EIF4G3
chr1:21231376-21268823	chr1	21231376	21268823	-	928	exonic	2	88,840	0,36607	ENST00000602326.5_1	-	21132975	21503343	EIF4G3
chr1:21295967-21307720	chr1	21295967	21307720	-	515	exonic	4	122,98,115,180	0,3527,10859,11573	ENST00000374935.7_1	-	21132784	21503381	EIF4G3
chr1:21295967-21308901	chr1	21295967	21308901	-	536	exonic	5	122,98,115,180,21	0,3527,10859,11573,12913	ENST00000602326.5_1	-	21132975	21503343	EIF4G3
chr1:21295967-21329301	chr1	21295967	21329301	-	632	exonic	6	122,98,115,180,21,96	0,3527,10859,11573,12913,33238	ENST00000602326.5_1	-	21132975	21503343	EIF4G3
chr1:21324094-21329301	chr1	21324094	21329301	-	128	exonic	2	32,96	0,5111	ENST00000356916.7_1	-	21267734	21501230	EIF4G3
chr1:21327692-21329301	chr1	21327692	21329301	-	209	exonic	2	113,96	0,1513	ENST00000411888.5_1	-	21295966	21503350	EIF4G3
chr1:21329206-21437876	chr1	21329206	21437876	-	361	exonic	4	95,129,76,61	0,48152,86424,108609	ENST00000356916.7_1	-	21267734	21501230	EIF4G3
chr1:21377359-21415706	chr1	21377359	21415706	-	38347	other	1	38347	0	ENST00000463775.1_1	-	21391023	21438103	EIF4G3
chr1:21377359-21437876	chr1	21377359	21437876	-	60517	other	1	60517	0	ENST00000463775.1_1	-	21391023	21438103	EIF4G3
chr1:22041882-22050588	chr1	22041882	22050588	-	512	exonic	4	68,131,115,198	0,5646,6260,8508	ENST00000308271.13_1	-	22005071	22110099	USP48
chr1:22041882-22056325	chr1	22041882	22056325	-	791	exonic	6	68,131,115,198,150,129	0,5646,6260,8508,13180,14314	ENST00000308271.13_1	-	22005071	22110099	USP48
chr1:22047529-22056325	chr1	22047529	22056325	-	722	exonic	5	130,115,198,150,129	0,613,2861,7533,8667	ENST00000308271.13_1	-	22005071	22110099	USP48
chr1:22404922-22413359	chr1	22404922	22413359	+	711	exonic	5	154,176,73,110,198	0,276,3292,8009,8239	ENST00000498236.1_3	+	22379199	22416503	CDC42
chr1:22816373-22818026	chr1	22816373	22818026	+	899	exonic	2	765,134	0,1519	ENST00000650433.1_1	+	22755330	22838256	ZBTB40
chr1:23356962-23385660	chr1	23356962	23385660	+	815	exonic	8	165,60,134,79,93,107,82,95	0,13957,19917,23291,24599,25462,27014,28603	ENST00000400181.8_1	+	23345985	23410181	KDM1A
chr1:23376880-23385660	chr1	23376880	23385660	+	589	exonic	6	133,79,93,107,82,95	0,3373,4681,5544,7096,8685	ENST00000356634.7_1	+	23345940	23410182	KDM1A
chr1:23395032-23406160	chr1	23395032	23406160	+	990	exonic	8	142,91,135,74,112,133,188,115	0,521,2685,3584,4752,8688,10450,11013	ENST00000356634.7_1	+	23345940	23410182	KDM1A
chr1:23397718-23398690	chr1	23397718	23398690	+	208	exonic	2	134,74	0,898	ENST00000356634.7_1	+	23345940	23410182	KDM1A
chr1:24130890-24147083	chr1	24130890	24147083	-	815	exonic	7	125,189,64,149,96,108,84	0,3734,6335,9789,12274,13075,16109	ENST00000374487.6_1	-	24128376	24165110	HMGCL
chr1:24140680-24147083	chr1	24140680	24147083	-	436	exonic	4	148,96,108,84	0,2484,3285,6319	ENST00000374487.6_1	-	24128376	24165110	HMGCL
chr1:24400650-24402763	chr1	24400650	24402763	-	381	exonic	3	109,157,115	0,1158,1998	ENST00000374434.4_2	-	24382530	24438625	MYOM3
chr1:24495907-24507344	chr1	24495907	24507344	-	308	exonic	2	184,124	0,11313	ENST00000327535.6_2	-	24480657	24513779	IFNLR1
chr1:24840804-24841057	chr1	24840804	24841057	+	253	exonic	1	253	0	ENST00000374395.9_2	+	24829325	24867530	RCAN3
chr1:25551493-25554726	chr1	25551493	25554726	-	307	exonic	3	98,91,118	0,2439,3115	ENST00000236273.9_3	-	25548766	25558993	SYF2
chr1:25666965-25678184	chr1	25666965	25678184	+	286	exonic	3	105,113,68	0,2486,11151	ENST00000374358.5_2	+	25664824	25688852	TMEM50A
chr1:26584088-26586293	chr1	26584088	26586293	+	437	exonic	3	133,118,186	0,545,2019	ENST00000252992.8_3	+	26560692	26605299	CEP85
chr1:26772807-26774151	chr1	26772807	26774151	+	218	exonic	2	116,102	0,1242	ENST00000434391.6_1	+	26758772	26797785	DHDDS
chr1:27269151-27269556	chr1	27269151	27269556	+	311	exonic	2	116,195	0,210	ENST00000321265.10_2	+	27248233	27273362	NUDC
chr1:27432376-27436268	chr1	27432376	27436268	-	671	exonic	3	202,218,251	0,1762,3641	ENST00000263980.8_2	-	27425299	27481616	SLC9A1
chr1:28354300-28374937	chr1	28354300	28374937	-	465	exonic	5	137,137,67,80,44	0,7754,11049,14781,20593	ENST00000373871.8_3	-	28296854	28415121	EYA3
chr1:28362055-28374937	chr1	28362055	28374937	-	327	exonic	4	136,67,80,44	0,3294,7026,12838	ENST00000540618.5_2	-	28296857	28415148	EYA3
chr1:28362055-28384605	chr1	28362055	28384605	-	428	exonic	5	136,67,80,44,101	0,3294,7026,12838,22449	ENST00000540618.5_2	-	28296857	28415148	EYA3
chr1:28931884-28948677	chr1	28931884	28948677	-	533	exonic	4	88,115,78,252	0,7874,12580,16541	ENST00000373824.8_1	-	28929361	28969578	TAF12
chr1:29313943-29314417	chr1	29313943	29314417	+	474	exonic	1	474	0	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29319842-29344954	chr1	29319842	29344954	+	655	exonic	5	212,105,43,76,219	0,3884,18534,22361,24893	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29362338-29365938	chr1	29362338	29365938	+	270	exonic	2	97,173	0,3427	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29362338-29379824	chr1	29362338	29379824	+	479	exonic	3	97,173,209	0,3427,17277	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29362338-29391670	chr1	29362338	29391670	+	818	exonic	7	97,173,209,57,42,63,177	0,3427,17277,22762,22984,24595,29155	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29442211-29444501	chr1	29442211	29444501	+	1275	exonic	2	104,1171	0,1119	ENST00000343067.8_2	+	29213602	29446558	EPB41
chr1:29474592-29481422	chr1	29474592	29481422	-	1451	exonic	3	1146,90,215	0,2022,6615	ENST00000373795.7_3	-	29474254	29508412	SRSF4
chr1:29481208-29481422	chr1	29481208	29481422	-	214	exonic	1	214	0	ENST00000497015.5_1	-	29481208	29487075	SRSF4
chr1:31465237-31468067	chr1	31465237	31468067	-	437	exonic	2	270,167	0,2663	ENST00000373747.7_2	-	31404352	31538551	PUM1
chr1:31465237-31479946	chr1	31465237	31479946	-	722	exonic	4	270,167,179,106	0,2663,13462,14603	ENST00000373747.7_2	-	31404352	31538551	PUM1
chr1:31465237-31479949	chr1	31465237	31479949	-	725	exonic	4	270,167,179,109	0,2663,13462,14603	ENST00000373747.7_2	-	31404352	31538551	PUM1
chr1:31532051-31532424	chr1	31532051	31532424	-	373	exonic	1	373	0	ENST00000373747.7_2	-	31404352	31538551	PUM1
chr1:31810022-31821821	chr1	31810022	31821821	+	439	exonic	4	100,92,101,146	0,1781,9464,11653	ENST00000546109.5_2	+	31769828	31837800	ZCCHC17
chr1:32381496-32385259	chr1	32381496	32385259	-	781	exonic	2	92,689	0,3074	ENST00000647444.2_2	-	32372021	32403969	PTP4A2
chr1:32502511-32504220	chr1	32502511	32504220	+	403	exonic	3	133,202,68	0,924,1641	ENST00000484270.2_1	+	32479782	32526451	KHDRBS1
chr1:33058532-33059355	chr1	33058532	33059355	+	823	exonic	1	823	0	ENST00000480336.1_1	+	32930657	33066393	AL033529.1
chr1:33413823-33415375	chr1	33413823	33415375	-	350	exonic	2	144,206	0,1346	ENST00000373456.11_1	-	33402045	33430286	RNF19B
chr1:33760538-33760906	chr1	33760538	33760906	+	237	exonic	2	78,159	0,209	ENST00000539719.6_2	+	33722092	33766320	ZNF362
chr1:35569896-35576048	chr1	35569896	35576048	+	541	exonic	3	174,213,154	0,261,5998	ENST00000650449.1_2	+	35497772	35581225	ZMYM1
chr1:35824526-35827390	chr1	35824526	35827390	+	754	exonic	3	521,62,171	0,2268,2693	ENST00000314607.10_1	+	35734567	35887545	ZMYM4
chr1:35846860-35847359	chr1	35846860	35847359	+	387	exonic	2	174,213	0,286	ENST00000314607.10_1	+	35734567	35887545	ZMYM4
chr1:35846860-35854683	chr1	35846860	35854683	+	1254	exonic	7	174,213,151,116,276,151,173	0,286,4182,4814,5743,6194,7650	ENST00000314607.10_1	+	35734567	35887545	ZMYM4
chr1:35846860-35855699	chr1	35846860	35855699	+	1405	exonic	8	174,213,151,116,276,151,173,151	0,286,4182,4814,5743,6194,7650,8688	ENST00000314607.10_1	+	35734567	35887545	ZMYM4
chr1:35857813-35865177	chr1	35857813	35865177	+	940	exonic	8	140,38,145,119,169,54,180,95	0,434,1382,4339,5164,6200,6651,7269	ENST00000314607.10_1	+	35734567	35887545	ZMYM4
chr1:35936464-35944813	chr1	35936464	35944813	-	446	exonic	3	97,102,247	0,3941,8102	ENST00000325722.8_2	-	35899092	36023004	KIAA0319L
chr1:35940406-35944813	chr1	35940406	35944813	-	348	exonic	2	101,247	0,4160	ENST00000325722.8_2	-	35899092	36023004	KIAA0319L
chr1:36297028-36301594	chr1	36297028	36301594	+	875	exonic	6	147,120,129,134,185,160	0,384,629,1009,2562,4406	ENST00000373210.4_2	+	36273616	36323491	AGO4
chr1:38329984-38334286	chr1	38329984	38334286	-	438	exonic	4	111,128,85,114	0,1448,2146,4188	ENST00000373023.6_1	-	38326368	38412729	INPP5B
chr1:38332131-38339760	chr1	38332131	38339760	-	7629	other	1	7629	0	ENST00000470364.5_1	-	38332130	38338700	INPP5B
chr1:38820192-38820768	chr1	38820192	38820768	+	576	other	1	576	0	NA	NA	NA	NA	NA
chr1:39747880-39753234	chr1	39747880	39753234	+	1256	exonic	9	166,113,107,120,96,128,94,155,277	0,980,1200,1857,2124,2874,3088,3395,5077	ENST00000567887.5_2	+	39549733	39952849	MACF1
chr1:39851106-39854330	chr1	39851106	39854330	+	1967	exonic	2	495,1472	0,1752	ENST00000567887.5_2	+	39549733	39952849	MACF1
chr1:39900086-39905172	chr1	39900086	39905172	+	890	exonic	5	218,204,9,232,227	0,1143,2067,3362,4859	ENST00000372915.7_2	+	39549803	39952652	MACF1
chr1:40306807-40313769	chr1	40306807	40313769	-	1309	exonic	6	778,118,110,78,113,112	0,2965,3395,6084,6412,6850	ENST00000648678.1_2	-	40303781	40349097	TRIT1
chr1:40306807-40323089	chr1	40306807	40323089	-	1838	exonic	10	778,118,110,78,113,112,143,146,99,141	0,2965,3395,6084,6412,6850,8983,11595,12834,16141	ENST00000648678.1_2	-	40303781	40349097	TRIT1
chr1:40555082-40558179	chr1	40555082	40558179	-	411	exonic	4	102,71,128,110	0,1918,2634,2987	ENST00000642050.1_2	-	40537132	40563399	PPT1
chr1:40654727-40668286	chr1	40654727	40668286	+	572	exonic	4	154,82,133,203	0,1716,6576,13356	ENST00000372771.5_2	+	40627058	40706593	RLF
chr1:40654727-40688382	chr1	40654727	40688382	+	709	exonic	5	154,82,133,203,137	0,1716,6576,13356,33518	ENST00000372771.5_2	+	40627058	40706593	RLF
chr1:40656444-40668286	chr1	40656444	40668286	+	417	exonic	3	81,133,203	0,4859,11639	ENST00000372771.5_2	+	40627058	40706593	RLF
chr1:40733458-40737707	chr1	40733458	40737707	+	498	exonic	4	86,117,153,142	0,632,2188,4107	ENST00000372759.4_2	+	40723907	40759852	ZMPSTE24
chr1:40869356-40875507	chr1	40869356	40875507	+	6151	other	1	6151	0	ENST00000435168.6_3	+	40810521	40879912	SMAP2
chr1:41092298-41101729	chr1	41092298	41101729	-	600	exonic	5	103,140,102,113,142	0,2183,2644,6442,9289	ENST00000372684.8_2	-	41086351	41131354	RIMS3
chr1:41107381-41113514	chr1	41107381	41113514	-	422	exonic	2	247,175	0,5958	ENST00000372684.8_2	-	41086351	41131354	RIMS3
chr1:41536267-41541123	chr1	41536267	41541123	-	359	exonic	2	126,233	0,4623	ENST00000372597.5_2	-	41492873	41707788	SCMH1
chr1:41578955-41608784	chr1	41578955	41608784	-	567	exonic	3	243,89,235	0,3638,29594	ENST00000372597.5_2	-	41492873	41707788	SCMH1
chr1:42312054-42314760	chr1	42312054	42314760	-	2706	other	1	2706	0	ENST00000489103.5_1	-	42312861	42501596	HIVEP3
chr1:42730786-42744343	chr1	42730786	42744343	-	399	exonic	2	74,325	0,13232	ENST00000372573.5_3	-	42642209	42801548	FOXJ3
chr1:42730786-42744455	chr1	42730786	42744455	-	13669	other	1	13669	0	ENST00000372573.5_3	-	42642209	42801548	FOXJ3
chr1:42730786-42776781	chr1	42730786	42776781	-	460	exonic	3	74,325,61	0,13232,45934	ENST00000372573.5_3	-	42642209	42801548	FOXJ3
chr1:42946132-42964587	chr1	42946132	42964587	+	546	exonic	5	105,154,72,116,99	0,2201,9696,16636,18356	ENST00000477155.5_2	+	42929024	43119857	CCDC30
chr1:43239234-43241150	chr1	43239234	43241150	+	489	exonic	3	86,132,271	0,1173,1645	ENST00000603943.6_3	+	43232976	43255605	AC098484.3
chr1:44131367-44137546	chr1	44131367	44137546	+	1110	exonic	6	49,104,138,248,200,371	0,755,1257,2075,3403,5808	ENST00000372396.4_2	+	44115819	44171189	KDM4A
chr1:44386076-44387310	chr1	44386076	44387310	+	489	exonic	3	146,147,196	0,377,1038	ENST00000642331.1_2	+	44173206	44396823	ST3GAL3
chr1:44750507-44785416	chr1	44750507	44785416	-	341	exonic	4	72,92,60,117	0,23474,28333,34792	ENST00000372257.6_1	-	44686741	44820880	ERI3
chr1:44773982-44804994	chr1	44773982	44804994	-	546	exonic	4	91,60,117,278	0,4858,11317,30734	ENST00000372257.6_1	-	44686741	44820880	ERI3
chr1:45516746-45553909	chr1	45516746	45553909	-	836	exonic	4	179,151,149,357	0,7534,9024,36806	ENST00000359600.6_2	-	45482070	45672277	ZSWIM5
chr1:45553553-45553909	chr1	45553553	45553909	-	356	other	1	356	0	ENST00000464588.1_1	-	45553746	45771881	ZSWIM5
chr1:45796188-45800183	chr1	45796188	45800183	-	1439	exonic	14	41,153,137,189,64,145,98,114,72,42,74,40,149,121	0,665,903,1144,1506,1649,1874,2057,2246,2401,2580,2768,2896,3874	ENST00000372115.7_3	-	45794913	45806142	MUTYH
chr1:46032241-46032692	chr1	46032241	46032692	+	271	exonic	2	119,152	0,299	ENST00000372070.7_1	+	46016214	46035721	AKR1A1
chr1:46079768-46082065	chr1	46079768	46082065	+	572	exonic	5	85,74,189,167,57	0,196,916,1208,2240	ENST00000537798.5_2	+	46049659	46084576	NASP
chr1:46080685-46082065	chr1	46080685	46082065	+	412	exonic	3	188,167,57	0,291,1323	ENST00000537798.5_2	+	46049659	46084576	NASP
chr1:46105882-46108171	chr1	46105882	46108171	-	266	exonic	2	193,73	0,2216	ENST00000290795.7_2	-	46092975	46152208	GPBP1L1
chr1:46124700-46126897	chr1	46124700	46126897	-	1156	exonic	2	114,1042	0,1155	ENST00000290795.7_2	-	46092975	46152208	GPBP1L1
chr1:46521467-46546422	chr1	46521467	46546422	-	834	exonic	6	176,143,126,181,99,109	0,6133,10258,11115,21719,24846	ENST00000540385.2_1	-	46509332	46642160	AL358075.4
chr1:47098431-47101642	chr1	47098431	47101642	-	3211	other	1	3211	0	ENST00000492233.5_1	-	47099349	47110928	ATPAF1
chr1:47745913-47748131	chr1	47745913	47748131	-	1083	exonic	2	968,115	0,2103	ENST00000360380.7_1	-	47715810	47779819	STIL
chr1:48821342-48825442	chr1	48821342	48825442	-	284	exonic	2	99,185	0,3915	ENST00000396199.7_1	-	48761045	48937880	SPATA6
chr1:48860939-48869554	chr1	48860939	48869554	-	462	exonic	3	87,294,81	0,4083,8534	ENST00000396199.7_1	-	48761045	48937880	SPATA6
chr1:49052585-49056657	chr1	49052585	49056657	-	4072	other	1	4072	0	ENST00000371839.6_4	-	48998525	50489626	AGBL4
chr1:50941136-51001129	chr1	50941136	51001129	-	463	exonic	4	215,78,81,89	0,15123,16256,59904	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:50956260-51001129	chr1	50956260	51001129	-	247	exonic	3	77,81,89	0,1132,44780	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:51001041-51050483	chr1	51001041	51050483	-	653	exonic	6	88,137,155,82,64,127	0,4222,31707,47248,48282,49315	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:51005264-51061888	chr1	51005264	51061888	-	660	exonic	6	136,155,82,64,127,96	0,27484,43025,44059,45092,56528	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:51032749-51061888	chr1	51032749	51061888	-	523	exonic	5	154,82,64,127,96	0,15540,16574,17607,29043	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:51121114-51210447	chr1	51121114	51210447	-	376	exonic	4	86,106,92,92	0,50343,83420,89241	ENST00000396153.7_3	-	50902699	51425939	FAF1
chr1:51868107-51874004	chr1	51868107	51874004	-	606	exonic	4	90,114,204,198	0,983,3469,5699	ENST00000371733.8_2	-	51819934	51984938	EPS15
chr1:51871577-51874004	chr1	51871577	51874004	-	401	exonic	2	203,198	0,2229	ENST00000371733.8_2	-	51819934	51984938	EPS15
chr1:52135106-52139243	chr1	52135106	52139243	+	4137	other	1	4137	0	ENST00000371714.5_1	+	52042850	52254141	OSBPL9
chr1:52214041-52231653	chr1	52214041	52231653	+	475	exonic	6	29,51,39,91,105,160	0,1775,7950,12320,13497,17452	ENST00000428468.6_2	+	52082763	52254891	OSBPL9
