seqnames	start	end	width	strand	CLR	lfc	pval	fdr	ENSEMBL	geneName
chr1	230798887	230810870	11984	+	0.597	-2.03227036786497	3.91001971219786e-10	5.33208852533283e-09	ENSG00000135775	COG2
chr2	50692580	50758568	65989	-	0.043	-2.59655433574914	4.00629384570771e-10	5.42621159646534e-09	ENSG00000179915	NRXN1
chr2	172305191	172333460	28270	+	0.579	-2.3404862867543	4.23818256547812e-10	5.7015010053155e-09	ENSG00000115827	DCAF17
chr7	140494108	140508795	14688	-	0.323	-2.38392976688516	4.39698393120944e-10	5.87543289062952e-09	ENSG00000157764	BRAF
chr4	73956384	73958017	1634	-	0.106	2.10004475775594	5.19430005436514e-10	6.89456760549399e-09	ENSG00000132466	ANKRD17
chr8	42211943	42229180	17238	+	0.429	-3.98720426184899	5.57063065871269e-10	7.34511631887216e-09	ENSG00000070501	POLB
chr6	13579683	13601181	21499	+	0.231	-2.88093953452509	5.68702707447125e-10	7.40821294949515e-09	ENSG00000124523	SIRT5
chr3	196802708	196846401	43694	-	0.127	-2.5012926232742	5.69290096068688e-10	7.40821294949515e-09	ENSG00000075711	DLG1
chr17	42161923	42165064	3142	-	0.129	-2.44552201279334	5.75861366505554e-10	7.44506480982181e-09	ENSG00000108840	HDAC5
chr3	179576850	179597911	21062	-	0.052	-2.51112208591863	5.89184792053901e-10	7.56817368373752e-09	ENSG00000114757	PEX5L
chr13	48651289	48664554	13266	-	0.115	-2.78947596326777	5.94512972291562e-10	7.58766235790064e-09	ENSG00000136146	MED4
chr6	69703660	69728391	24732	+	0.047	-2.6049488883546	6.259460536457e-10	7.93795282043688e-09	ENSG00000135298	ADGRB3
chr3	27424644	27465643	41000	-	0.118	-2.19935371965897	6.38639246460591e-10	8.04766290951289e-09	ENSG00000033867	SLC4A7
chr2	71590283	71607695	17413	+	0.222	-2.80217234130652	6.51327829626893e-10	8.15593527539084e-09	ENSG00000075292	ZNF638
chr19	47767860	47768203	344	+	0.593	-3.52047343181787	6.69310661873673e-10	8.32873454869052e-09	ENSG00000105321	CCDC9
chr21	32537279	32575328	38050	-	0.173	-2.88968035649162	7.00754234499947e-10	8.66584894962357e-09	ENSG00000156299	TIAM1
chr9	77631184	77632364	1181	-	0.542	-2.55692643795712	7.20373506688314e-10	8.8534793322002e-09	ENSG00000156017	CARNMT1
chr6	149833291	149862722	29432	-	0.314	-2.4137308515883	7.31071954680913e-10	8.92984209674662e-09	ENSG00000131013	PPIL4
chr6	71185113	71212494	27382	+	0.386	-2.44305289652926	7.57168046617607e-10	9.19220476107107e-09	ENSG00000082269	FAM135A
chr6	34100755	34101636	882	-	0.168	-3.98586163962561	8.28117910121236e-10	9.99262278212958e-09	ENSG00000124493	GRM4
chr12	112757029	112757546	518	-	0.222	-3.63760111235451	9.30159992306238e-10	1.11563165342272e-08	ENSG00000173064	HECTD4
chr9	86276692	86284242	7551	-	0.083	-2.19070313828087	9.40230217282937e-10	1.12095710335948e-08	ENSG00000135018	UBQLN1
chr14	50175877	50210523	34647	+	0.593	-2.42249029872995	9.53476189698951e-10	1.12375039176849e-08	ENSG00000197776	KLHDC1
chr6	73001637	73043538	41902	+	0.367	-3.49410829336255	9.55886962303685e-10	1.12375039176849e-08	ENSG00000079841	RIMS1
chr8	17123416	17143936	20521	+	0.59	-2.20007578977886	9.59505608240297e-10	1.12375039176849e-08	ENSG00000155975	VPS37A
chr6	55378846	55406938	28093	-	0.229	-2.91717198534408	9.98805967729298e-10	1.16293724078891e-08	ENSG00000146151	HMGCLL1
chr13	40268771	40301685	32915	+	0.4	-2.51238838693584	1.03755402554687e-09	1.20102910747896e-08	ENSG00000133103	COG6
chr11	108638664	108722936	84273	+	0.889	-2.30578003485902	1.06041644159924e-09	1.2161442863197e-08	ENSG00000178105	DDX10
chr13	35615070	35644989	29920	+	0.338	-2.70262859637167	1.06282825625127e-09	1.2161442863197e-08	ENSG00000172915	NBEA
chr19	30476130	30509866	33737	+	0.684	-3.81989984909515	1.07433587448383e-09	1.21838096670776e-08	n/a	
chr12	130884224	130907106	22883	-	0.4	-2.90556016255581	1.08164708987372e-09	1.21838096670776e-08	ENSG00000060709	RIMBP2
chr14	93934017	93954101	20085	+	0.394	-2.49698917409156	1.08314129134743e-09	1.21838096670776e-08	ENSG00000133958	UNC79
chr6	90461150	90472249	11100	-	0.328	-3.10924386167134	1.13970039278201e-09	1.27479970900505e-08	ENSG00000112159	MDN1
chr1	99418626	99422297	3672	-	0.571	-2.49924113632538	1.18845056498067e-09	1.32190227646732e-08	ENSG00000117598	PLPPR5
chr18	76953183	77067234	114052	+	0.254	-2.21193878022599	1.41289353968091e-09	1.56281724305817e-08	ENSG00000166377	ATP9B
chr6	73016961	73043538	26578	+	0.431	-3.34950738999567	1.49552848293796e-09	1.64508133123175e-08	ENSG00000079841	RIMS1
chr6	146719905	146720835	931	+	0.233	-3.61238829943917	1.51049869929081e-09	1.65241918147693e-08	ENSG00000152822	GRM1
chr2	162804076	162821683	17608	+	0.14	-2.58102097817528	1.6314360133166e-09	1.77496672268489e-08	ENSG00000144290	SLC4A10
chr8	41518948	41521260	2313	-	0.407	-3.56999757534146	1.73292577448218e-09	1.87513870488806e-08	ENSG00000029534	ANK1
chr17	61228631	61278318	49688	+	0.274	-2.38219362585576	1.81980866187003e-09	1.95850759231525e-08	ENSG00000170921	TANC2
chr7	137148235	137294355	146121	-	0.4	-3.1167943009606	1.96116025517753e-09	2.09928498282713e-08	ENSG00000157680	DGKI
chr14	93760204	93761283	1080	-	0.636	-2.41116649813216	2.17878195040569e-09	2.31976195896136e-08	ENSG00000011114	BTBD7
chr7	156516806	156619438	102633	-	0.141	-2.23884009465653	2.23280683725198e-09	2.36463745370675e-08	ENSG00000105983	LMBR1
chr9	125719290	125782738	63449	+	0.2	-2.35950200388117	2.25227064714117e-09	2.37263008384025e-08	ENSG00000011454	RABGAP1
chr5	176618885	176639196	20312	+	0.321	-2.57762119573707	2.65426403507554e-09	2.78138931254495e-08	ENSG00000165671	NSD1
chr3	183368084	183390272	22189	+	0.357	-3.07951553116196	2.77405628889194e-09	2.8842890807469e-08	ENSG00000114796	KLHL24
chr8	10065343	10177499	112157	+	0.233	-2.15866558367329	2.78143397038375e-09	2.8842890807469e-08	ENSG00000175806	MSRA
chr20	35457457	35467844	10388	-	0.353	-4.81294413184415	2.90068208320476e-09	2.99236167236305e-08	ENSG00000149639	SOGA1
chr15	54304845	54308083	3239	+	0.585	-4.09834413502294	2.9333501507773e-09	3.01046399494722e-08	ENSG00000137766	UNC13C
chr1	211192206	211264032	71827	-	0.37	-2.64828082809222	3.23223318446316e-09	3.30019295911085e-08	ENSG00000143473	KCNH1
chr6	62362160	62417308	55149	-	0.333	-2.36099611719676	3.35174881550512e-09	3.40476116921974e-08	n/a	
chr13	26112126	26163837	51712	+	0.192	-2.9151142407629	3.55554750359121e-09	3.59225004889206e-08	ENSG00000132932	ATP8A2
chr2	221618333	221675652	57320	+	0.471	-2.53521513386015	3.57240336353907e-09	3.59225004889206e-08	n/a	
chr12	1399018	1481143	82126	+	0.393	-3.0173764545265	3.63117878221569e-09	3.63300349517157e-08	ENSG00000082805	ERC1
chr5	156721792	156731374	9583	+	0.138	-2.53658904378397	3.82226687281199e-09	3.80506667188434e-08	ENSG00000055163	CYFIP2
chr18	59739906	59763183	23278	-	0.24	-2.38910742076144	3.84744474671961e-09	3.81107586602923e-08	ENSG00000197563	PIGN
chr3	194154501	194175121	20621	-	0.338	-3.65528668542839	3.965862784406e-09	3.90892713057047e-08	ENSG00000133657	ATP13A3
chr12	22637631	22659753	22123	-	0.419	-2.9633316992014	4.07012464339651e-09	3.99193013054308e-08	ENSG00000111731	C2CD5
chr18	8076453	8143777	67325	+	0.222	-2.82257884745842	4.21248788621382e-09	4.111305579143e-08	ENSG00000173482	PTPRM
chr5	132227856	132232932	5077	-	0.122	-2.54423828275614	4.50071428580383e-09	4.37118153318801e-08	ENSG00000072364	AFF4
chr7	77214860	77230123	15264	+	0.286	2.53299728717105	4.52632256293376e-09	4.37471272951511e-08	ENSG00000127947	PTPN12
chr10	103552596	103570071	17476	-	0.185	-2.31350968563825	4.82478139115653e-09	4.64064722212206e-08	ENSG00000198408	OGA
chr13	101997652	102051516	53865	-	0.108	-2.85679216444936	4.85169215933387e-09	4.64409571597776e-08	ENSG00000102452	NALCN
chr10	43650345	43654379	4035	+	0.698	-2.13616845859389	5.12198824864286e-09	4.87936775265451e-08	ENSG00000169826	CSGALNACT2
