circBase ID,circBank ID,riboCIRC ID,riboCIRC ORF ID,ORF Length,Host_Gene,Refseq,Hg19,Hg38,Strand,GPL19978_GPL21825,GPL19978_GPL21825_Probe,Spliced Seq Length,Annotation
hsa_circ_0009581,hsa_circRERE_046,N/A,N/A,N/A,RERE,NM_012102,chr1:8555122-8601377,chr1:8495062-8541318,-,hsa_circRNA_100033,ASCRP3001057,379,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0009117,hsa_circRERE_022,N/A,N/A,N/A,RERE,NM_012102,chr1:8555122-8674745,chr1:8495062-8614686,-,hsa_circRNA_100035,ASCRP3002951,708,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005829,hsa_circRERE_035,N/A,N/A,N/A,RERE,NM_012102,chr1:8568685-8617582,chr1:8508626-8557523,-,N/A,N/A,357,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009586,hsa_circRERE_021,N/A,N/A,N/A,RERE,NM_012102,chr1:8568685-8674745,chr1:8508626-8614686,-,hsa_circRNA_009586,ASCRP3005971,483,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0114339,hsa_circRERE_040,hsa_circRERE_001,hsa_circRERE_001_103,104,RERE,NM_012102,chr1:8601272-8617580,chr1:8541213-8557521,-,N/A,N/A,306,"ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0002158,hsa_circRERE_033,hsa_circRERE_001,hsa_circRERE_001_103,104,RERE,NM_012102,chr1:8601272-8617582,chr1:8541213-8557523,-,hsa_circRNA_100037,ASCRP3006510,308,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008501,hsa_circRERE_019,N/A,N/A,N/A,RERE,NM_012102,chr1:8601272-8674745,chr1:8541213-8614686,-,hsa_circRNA_100038,ASCRP3011309,434,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005039,hsa_circRERE_006,N/A,N/A,N/A,RERE,NM_012102,chr1:8674619-8716500,chr1:8614560-8656441,-,hsa_circRNA_100041,ASCRP3009115,666,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0114356,hsa_circRERE_004,N/A,N/A,N/A,RERE,NM_012102,chr1:8716031-8716500,chr1:8655972-8656441,-,N/A,N/A,469,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009671,hsa_circCLSTN1_007,N/A,N/A,N/A,CLSTN1,NM_001009566,chr1:9815171-9816568,chr1:9755113-9756510,-,N/A,N/A,226,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009674,hsa_circCTNNBIP1_002,N/A,N/A,N/A,CTNNBIP1,NM_020248,chr1:9931244-9938047,chr1:9871186-9877989,-,hsa_circRNA_100045,ASCRP3004636,296,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000014,hsa_circLZIC_005,hsa_circLZIC_001,hsa_circLZIC_001_126,127,LZIC,NM_032368,chr1:9991948-9994918,chr1:9931890-9934860,-,hsa_circRNA_100046,ASCRP3013439,277,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0000014,hsa_circLZIC_005,hsa_circLZIC_001,hsa_circLZIC_001_69,70,LZIC,NM_032368,chr1:9991948-9994918,chr1:9931890-9934860,-,hsa_circRNA_100046,ASCRP3013439,277,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0007803,hsa_circLZIC_004,hsa_circLZIC_002,hsa_circLZIC_002_127,128,LZIC,NM_032368,chr1:9991948-9995685,chr1:9931890-9935627,-,hsa_circRNA_007803,ASCRP3008953,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007803,hsa_circLZIC_004,hsa_circLZIC_002,hsa_circLZIC_002_27,28,LZIC,NM_032368,chr1:9991948-9995685,chr1:9931890-9935627,-,hsa_circRNA_007803,ASCRP3008953,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110116,hsa_circNMNAT1_001,N/A,N/A,N/A,NMNAT1,ENST00000377205.1,chr1:10032075-10041228,chr1:9972017-9981170,+,N/A,N/A,495,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0110195,hsa_circUBE4B_026,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10192426-10197263,chr1:10132368-10137205,+,N/A,N/A,452,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006955,hsa_circUBE4B_029,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10195045-10197263,chr1:10134987-10137205,+,N/A,N/A,338,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110199,hsa_circUBE4B_033,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10204997-10211619,chr1:10144939-10151561,+,N/A,N/A,563,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009701,hsa_circUBE4B_038,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10209241-10221344,chr1:10149183-10161286,+,N/A,N/A,607,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110258,hsa_circKIF1B_055,N/A,N/A,N/A,KIF1B,ENST00000377086.1,chr1:10380100-10384953,chr1:10320042-10324895,+,N/A,N/A,560,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009709,hsa_circKIF1B_056,N/A,N/A,N/A,KIF1B,NM_015074,chr1:10380100-10403345,chr1:10320042-10343287,+,N/A,N/A,1573,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110259,hsa_circKIF1B_057,N/A,N/A,N/A,KIF1B,ENST00000377086.1,chr1:10380100-10436734,chr1:10320042-10376676,+,N/A,N/A,3425,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0009711,hsa_circKIF1B_068,N/A,N/A,N/A,KIF1B,NM_015074,chr1:10407818-10408791,chr1:10347760-10348733,+,N/A,N/A,152,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009716,hsa_circKIF1B_082,N/A,N/A,N/A,KIF1B,NM_015074,chr1:10423340-10425706,chr1:10363282-10365648,+,N/A,N/A,448,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000015,hsa_circAPITD1_001,N/A,N/A,N/A,APITD1,NM_199294,chr1:10493898-10502498,chr1:10433841-10442441,+,hsa_circRNA_000015,ASCRP3007396,402,"ALT_DONOR, CDS, coding, INTERNAL, UTR3"
hsa_circ_0006576,hsa_circMTOR_068,N/A,N/A,N/A,MTOR,NM_004958,chr1:11184554-11193254,chr1:11124497-11133197,-,hsa_circRNA_006576,ASCRP3004660,1416,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006470,hsa_circMFN2_018,N/A,N/A,N/A,MFN2,NM_014874,chr1:12061457-12062160,chr1:12001400-12002103,+,hsa_circRNA_100054,ASCRP3011500,344,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009964,hsa_circVPS13D_023,hsa_circVPS13D_001,hsa_circVPS13D_001_73,74,VPS13D,NM_015378,chr1:12335881-12338095,chr1:12275824-12278038,+,hsa_circRNA_100055,ASCRP3007207,2214,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009964,hsa_circVPS13D_023,hsa_circVPS13D_001,hsa_circVPS13D_001_INF,1476,VPS13D,NM_015378,chr1:12335881-12338095,chr1:12275824-12278038,+,hsa_circRNA_100055,ASCRP3007207,2214,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0004222,hsa_circVPS13D_083,N/A,N/A,N/A,VPS13D,NM_015378,chr1:12460237-12476880,chr1:12400180-12416827,+,N/A,N/A,699,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110660,hsa_circPRDM2_003,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14042035-14075982,chr1:13715540-13749487,+,N/A,N/A,576,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0004861,hsa_circPRDM2_006,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14057494-14075982,chr1:13730999-13749487,+,N/A,N/A,502,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110663,hsa_circPRDM2_008,N/A,N/A,N/A,PRDM2,ENST00000343137.4,chr1:14095533-14099683,chr1:13769038-13773188,+,N/A,N/A,246,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON, UTR5"
hsa_circ_0110664,hsa_circPRDM2_010,hsa_circPRDM2_001,hsa_circPRDM2_001_1485,1486,PRDM2,NM_012231,chr1:14099572-14109326,chr1:13773077-13782831,+,N/A,N/A,4525,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000018,hsa_circDNAJC16_006,N/A,N/A,N/A,DNAJC16,NM_015291,chr1:15860731-15863309,chr1:15534236-15536814,+,hsa_circRNA_100065,ASCRP3009117,407,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010052,hsa_circDDI2_006,N/A,N/A,N/A,DDI2,NM_032341,chr1:15956819-15978390,chr1:15630324-15651895,+,hsa_circRNA_100066,ASCRP3001777,915,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000021,hsa_circPLEKHM2_005,N/A,N/A,N/A,PLEKHM2,NM_015164,chr1:16044387-16047883,chr1:15717892-15721388,+,hsa_circRNA_100068,ASCRP3008015,435,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002237,hsa_circSPEN_003,N/A,N/A,N/A,SPEN,NM_015001,chr1:16199310-16203173,chr1:15872815-15876678,+,hsa_circRNA_002237,ASCRP3004424,798,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005562,hsa_circARHGEF10L_003,N/A,N/A,N/A,ARHGEF10L,NM_018125,chr1:17907047-17914974,chr1:17580552-17588479,+,hsa_circRNA_100072,ASCRP3005311,300,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0111588,hsa_circUBR4_034,N/A,N/A,N/A,UBR4,ENST00000375267.2,chr1:19503085-19514034,chr1:19176591-19187540,-,N/A,N/A,1379,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0000023,hsa_circHP1BP3_029,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21076215-21100103,chr1:20749722-20773610,-,hsa_circRNA_000023,ASCRP3003920,791,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000024,hsa_circHP1BP3_027,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21100103,chr1:20757165-20773610,-,N/A,N/A,631,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0004493,hsa_circHP1BP3_019,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21103243,chr1:20757165-20776750,-,N/A,N/A,785,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111820,hsa_circHP1BP3_018,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21091869-21103243,chr1:20765376-20776750,-,N/A,N/A,694,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005782,hsa_circHP1BP3_024,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21097422-21100103,chr1:20770929-20773610,-,hsa_circRNA_100080,ASCRP3000363,304,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010467,hsa_circEIF4G3_062,N/A,N/A,N/A,EIF4G3,NM_001198801,chr1:21220009-21268823,chr1:20893516-20942330,-,N/A,N/A,1430,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111887,hsa_circEIF4G3_061,N/A,N/A,N/A,EIF4G3,NM_001198801,chr1:21231375-21268823,chr1:20904882-20942330,-,N/A,N/A,929,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000025,hsa_circEIF4G3_054,N/A,N/A,N/A,EIF4G3,NM_001198802,chr1:21295966-21307720,chr1:20969473-20981227,-,hsa_circRNA_000025,ASCRP3001062,516,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005604,hsa_circEIF4G3_047,N/A,N/A,N/A,EIF4G3,NM_001198803,chr1:21295966-21329301,chr1:20969473-21002808,-,N/A,N/A,645,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0111915,hsa_circEIF4G3_044,N/A,N/A,N/A,EIF4G3,NM_001198803,chr1:21324093-21329301,chr1:20997600-21002808,-,N/A,N/A,129,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0008071,hsa_circEIF4G3_043,N/A,N/A,N/A,EIF4G3,NM_001198801,chr1:21327691-21329301,chr1:21001198-21002808,-,N/A,N/A,1610,"ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON, UTR5"
hsa_circ_0007227,hsa_circEIF4G3_012,hsa_circEIF4G3_001,hsa_circEIF4G3_001_111,112,EIF4G3,NM_001198803,chr1:21329205-21437876,chr1:21002712-21111383,-,N/A,N/A,362,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0005075,hsa_circEIF4G3_027,hsa_circEIF4G3_002,hsa_circEIF4G3_002_79,80,EIF4G3,NM_001198801,chr1:21377358-21415706,chr1:21050865-21089213,-,hsa_circRNA_100085,ASCRP3001545,205,"ANNOTATED, coding, INTERNAL, OVEXON, UTR5"
hsa_circ_0000026,hsa_circEIF4G3_011,N/A,N/A,N/A,EIF4G3,NM_001198803,chr1:21377358-21437876,chr1:21050865-21111383,-,hsa_circRNA_100086,ASCRP3001546,266,"ANNOTATED, coding, INTERNAL, OVEXON, UTR5"
hsa_circ_0112054,hsa_circUSP48_026,N/A,N/A,N/A,USP48,ENST00000308271.9,chr1:22041881-22050588,chr1:21715388-21724095,-,N/A,N/A,513,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0112055,hsa_circUSP48_020,N/A,N/A,N/A,USP48,ENST00000308271.9,chr1:22041881-22056325,chr1:21715388-21729832,-,N/A,N/A,792,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0112058,hsa_circUSP48_019,N/A,N/A,N/A,USP48,ENST00000308271.9,chr1:22047528-22056325,chr1:21721035-21729832,-,N/A,N/A,723,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005576,hsa_circCDC42_002,N/A,N/A,N/A,CDC42,NM_001039802,chr1:22404921-22413359,chr1:22078428-22086866,+,hsa_circRNA_100095,ASCRP3006460,536,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0007418,hsa_circZBTB40_001,N/A,N/A,N/A,ZBTB40,NM_001083621,chr1:22816372-22818026,chr1:22489879-22491533,+,hsa_circRNA_007418,ASCRP3000003,900,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0007822,hsa_circKDM1A_008,N/A,N/A,N/A,KDM1A,NM_001009999,chr1:23356961-23385660,chr1:23030468-23059167,+,hsa_circRNA_100098,ASCRP3000033,816,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0003889,hsa_circKDM1A_022,hsa_circKDM1A_002,hsa_circKDM1A_002_197,198,KDM1A,NM_001009999,chr1:23376879-23385660,chr1:23050386-23059167,+,N/A,N/A,590,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0112446,hsa_circKDM1A_051,N/A,N/A,N/A,KDM1A,NM_001009999,chr1:23395031-23406160,chr1:23068538-23079667,+,N/A,N/A,991,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0010835,hsa_circKDM1A_057,N/A,N/A,N/A,KDM1A,NM_001009999,chr1:23397717-23398690,chr1:23071224-23072197,+,N/A,N/A,209,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0004014,hsa_circHMGCL_005,N/A,N/A,N/A,HMGCL,NM_000191,chr1:24130889-24147083,chr1:23804399-23820593,-,hsa_circRNA_004014,ASCRP3007548,816,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003757,hsa_circHMGCL_002,N/A,N/A,N/A,HMGCL,NM_000191,chr1:24140679-24147083,chr1:23814189-23820593,-,hsa_circRNA_100099,ASCRP3002725,437,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010906,hsa_circIL28RA_001,N/A,N/A,N/A,IL28RA,NM_170743,chr1:24495906-24507344,chr1:24169416-24180854,-,hsa_circRNA_010906,ASCRP3007689,309,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003553,hsa_circRCAN3_001,N/A,N/A,N/A,RCAN3,NM_013441,chr1:24840803-24841057,chr1:24514313-24514567,+,hsa_circRNA_003553,ASCRP3008346,254,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0112896,hsa_circSYF2_002,N/A,N/A,N/A,SYF2,NM_015484,chr1:25551492-25554726,chr1:25225001-25228235,-,N/A,N/A,308,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007054,hsa_circTMEM50A_002,hsa_circTMEM50A_002,hsa_circTMEM50A_002_93,94,TMEM50A,NM_014313,chr1:25666964-25678184,chr1:25340473-25351693,+,hsa_circRNA_007054,ASCRP3000726,287,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000033,hsa_circCEP85_013,N/A,N/A,N/A,CEP85,NM_022778,chr1:26584087-26586293,chr1:26257596-26259802,+,hsa_circRNA_100103,ASCRP3003252,438,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000034,hsa_circDHDDS_006,hsa_circDHDDS_001,hsa_circDHDDS_001_INF,146,DHDDS,NM_205861,chr1:26772806-26774151,chr1:26446315-26447660,+,hsa_circRNA_100104,ASCRP3003667,219,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005087,hsa_circNUDC_008,hsa_circNUDC_001,hsa_circNUDC_001_113,114,NUDC,NM_006600,chr1:27269150-27269556,chr1:26942659-26943065,+,hsa_circRNA_005087,ASCRP3008984,312,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005087,hsa_circNUDC_008,hsa_circNUDC_001,hsa_circNUDC_001_INF,208,NUDC,NM_006600,chr1:27269150-27269556,chr1:26942659-26943065,+,hsa_circRNA_005087,ASCRP3008984,312,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007283,hsa_circSLC9A1_003,N/A,N/A,N/A,SLC9A1,NM_003047,chr1:27432375-27436268,chr1:27105884-27109777,-,hsa_circRNA_100111,ASCRP3002768,672,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0112954,hsa_circEYA3_008,N/A,N/A,N/A,EYA3,ENST00000373871.3,chr1:28354299-28374937,chr1:28027788-28048426,-,N/A,N/A,466,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0008057,hsa_circEYA3_007,N/A,N/A,N/A,EYA3,NM_001990,chr1:28362054-28374937,chr1:28035543-28048426,-,hsa_circRNA_100116,ASCRP3011008,328,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007895,hsa_circEYA3_004,N/A,N/A,N/A,EYA3,NM_001990,chr1:28362054-28384605,chr1:28035543-28058094,-,hsa_circRNA_100117,ASCRP3000151,429,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0011159,hsa_circTAF12_003,N/A,N/A,N/A,TAF12,NM_001135218,chr1:28931883-28948677,chr1:28605371-28622165,-,hsa_circRNA_100122,ASCRP3005830,534,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0011167,hsa_circEPB41_003,N/A,N/A,N/A,EPB41,NM_203342,chr1:29313942-29314417,chr1:28987430-28987905,+,hsa_circRNA_011167,ASCRP3001334,475,"ANNOTATED, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000041,hsa_circEPB41_012,N/A,N/A,N/A,EPB41,NM_001166006,chr1:29319841-29344954,chr1:28993329-29018442,+,hsa_circRNA_092365,ASCRP3003058,656,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0000042,hsa_circEPB41_017,N/A,N/A,N/A,EPB41,NM_001166007,chr1:29362337-29365938,chr1:29035825-29039426,+,hsa_circRNA_100126,ASCRP3005395,271,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0011173,hsa_circEPB41_018,N/A,N/A,N/A,EPB41,NM_203342,chr1:29362337-29379824,chr1:29035825-29053312,+,N/A,N/A,480,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0011174,hsa_circEPB41_019,N/A,N/A,N/A,EPB41,NM_001166005,chr1:29362337-29391670,chr1:29035825-29065158,+,N/A,N/A,819,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0113011,hsa_circEPB41_030,N/A,N/A,N/A,EPB41,NM_203342,chr1:29442210-29444501,chr1:29115698-29117989,+,N/A,N/A,1276,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0113013,hsa_circSRSF4_008,N/A,N/A,N/A,SRSF4,NM_005626,chr1:29474591-29481422,chr1:29148079-29154910,-,N/A,N/A,1452,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3"
hsa_circ_0006602,hsa_circSRSF4_006,N/A,N/A,N/A,SRSF4,NM_005626,chr1:29481207-29481422,chr1:29154695-29154910,-,hsa_circRNA_100127,ASCRP3008401,215,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000043,hsa_circPUM1_021,hsa_circPUM1_002,hsa_circPUM1_002_83,84,PUM1,NM_014676,chr1:31465236-31468067,chr1:30992389-30995220,-,hsa_circRNA_100133,ASCRP3009444,438,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000043,hsa_circPUM1_021,hsa_circPUM1_002,hsa_circPUM1_002_INF,292,PUM1,NM_014676,chr1:31465236-31468067,chr1:30992389-30995220,-,hsa_circRNA_100133,ASCRP3009444,438,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006636,hsa_circPUM1_019,N/A,N/A,N/A,PUM1,NM_001020658,chr1:31465236-31479946,chr1:30992389-31007099,-,N/A,N/A,723,"ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000044,hsa_circPUM1_016,N/A,N/A,N/A,PUM1,NM_014676,chr1:31465236-31479949,chr1:30992389-31007102,-,hsa_circRNA_100134,ASCRP3009678,726,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000045,hsa_circPUM1_004,N/A,N/A,N/A,PUM1,NM_014676,chr1:31532050-31532424,chr1:31059203-31059577,-,hsa_circRNA_100136,ASCRP3003425,374,"ANNOTATED, CDS, coding, INTERNAL, UTR5"
