circBase ID,circBank ID,riboCIRC ID,riboCIRC ORF ID,ORF Length,Host_Gene,Refseq,Hg19,Hg38,Strand,GPL19978_GPL21825,GPL19978_GPL21825_Probe,Spliced Seq Length,Annotation
hsa_circ_0009701,hsa_circUBE4B_038,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10209241-10221344,chr1:10149183-10161286,+,N/A,N/A,607,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009711,hsa_circKIF1B_068,N/A,N/A,N/A,KIF1B,NM_015074,chr1:10407818-10408791,chr1:10347760-10348733,+,N/A,N/A,152,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110291,hsa_circPGD_005,N/A,N/A,N/A,PGD,ENST00000538557.1,chr1:10463127-10464336,chr1:10403070-10404279,+,N/A,N/A,185,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009728,hsa_circPGD_008,N/A,N/A,N/A,PGD,NM_002631,chr1:10464217-10468197,chr1:10404160-10408140,+,N/A,N/A,189,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006905,hsa_circAPITD1_002,N/A,N/A,N/A,APITD1,NR_036462,chr1:10500403-10502498,chr1:10440346-10442441,+,hsa_circRNA_006905,ASCRP3013219,244,"ALT_DONOR, INTERNAL, ncRNA, OVCODE, OVEXON"
hsa_circ_0008936,hsa_circDFFA_001,N/A,N/A,N/A,DFFA,NM_213566,chr1:10527246-10529395,chr1:10467189-10469338,-,hsa_circRNA_008936,ASCRP3007358,305,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008660,hsa_circTARDBP_002,N/A,N/A,N/A,TARDBP,NM_007375,chr1:11076900-11078930,chr1:11016843-11018873,+,N/A,N/A,305,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003467,hsa_circEXOSC10_024,N/A,N/A,N/A,EXOSC10,NM_001001998,chr1:11133990-11134383,chr1:11073933-11074326,-,N/A,N/A,171,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002448,hsa_circEXOSC10_022,N/A,N/A,N/A,EXOSC10,NM_001001998,chr1:11133990-11137005,chr1:11073933-11076948,-,hsa_circRNA_002448,ASCRP3011239,278,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000017,hsa_circEXOSC10_007,N/A,N/A,N/A,EXOSC10,NM_001001998,chr1:11150610-11151654,chr1:11090553-11091597,-,N/A,N/A,386,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0006576,hsa_circMTOR_068,N/A,N/A,N/A,MTOR,NM_004958,chr1:11184554-11193254,chr1:11124497-11133197,-,hsa_circRNA_006576,ASCRP3004660,1416,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006470,hsa_circMFN2_018,N/A,N/A,N/A,MFN2,NM_014874,chr1:12061457-12062160,chr1:12001400-12002103,+,hsa_circRNA_100054,ASCRP3011500,344,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009964,hsa_circVPS13D_023,hsa_circVPS13D_001,hsa_circVPS13D_001_73,74,VPS13D,NM_015378,chr1:12335881-12338095,chr1:12275824-12278038,+,hsa_circRNA_100055,ASCRP3007207,2214,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009964,hsa_circVPS13D_023,hsa_circVPS13D_001,hsa_circVPS13D_001_INF,1476,VPS13D,NM_015378,chr1:12335881-12338095,chr1:12275824-12278038,+,hsa_circRNA_100055,ASCRP3007207,2214,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010028,hsa_circPRDM2_002,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14042035-14068652,chr1:13715540-13742157,+,N/A,N/A,449,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0110660,hsa_circPRDM2_003,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14042035-14075982,chr1:13715540-13749487,+,N/A,N/A,576,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0005986,hsa_circPRDM2_005,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14057494-14068652,chr1:13730999-13742157,+,hsa_circRNA_100062,ASCRP3009334,375,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005888,hsa_circPRDM2_009,N/A,N/A,N/A,PRDM2,NM_012231,chr1:14095612-14099683,chr1:13769117-13773188,+,N/A,N/A,4071,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON"
hsa_circ_0110664,hsa_circPRDM2_010,hsa_circPRDM2_001,hsa_circPRDM2_001_1485,1486,PRDM2,NM_012231,chr1:14099572-14109326,chr1:13773077-13782831,+,N/A,N/A,4525,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010029,hsa_circPRDM2_011,hsa_circPRDM2_002,hsa_circPRDM2_002_1382,1383,PRDM2,NM_012231,chr1:14104912-14109326,chr1:13778417-13782831,+,N/A,N/A,4414,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110944,hsa_circDNAJC16_001,N/A,N/A,N/A,DNAJC16,ENST00000375847.3,chr1:15855582-15863309,chr1:15529087-15536814,+,N/A,N/A,592,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0000018,hsa_circDNAJC16_006,N/A,N/A,N/A,DNAJC16,NM_015291,chr1:15860731-15863309,chr1:15534236-15536814,+,hsa_circRNA_100065,ASCRP3009117,407,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009118,hsa_circDNAJC16_008,N/A,N/A,N/A,DNAJC16,NM_015291,chr1:15860731-15874923,chr1:15534236-15548428,+,hsa_circRNA_009118,ASCRP3000182,856,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002898,hsa_circDNAJC16_013,N/A,N/A,N/A,DNAJC16,NM_015291,chr1:15862969-15863309,chr1:15536474-15536814,+,N/A,N/A,340,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010047,hsa_circDNAJC16_019,N/A,N/A,N/A,DNAJC16,NM_015291,chr1:15890423-15890854,chr1:15563928-15564359,+,N/A,N/A,260,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010048,hsa_circDDI2_002,N/A,N/A,N/A,DDI2,NM_032341,chr1:15953163-15970145,chr1:15626668-15643650,+,hsa_circRNA_010048,ASCRP3001969,751,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010052,hsa_circDDI2_006,N/A,N/A,N/A,DDI2,NM_032341,chr1:15956819-15978390,chr1:15630324-15651895,+,hsa_circRNA_100066,ASCRP3001777,915,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000019,hsa_circDDI2_010,N/A,N/A,N/A,DDI2,NM_032341,chr1:15964801-15970145,chr1:15638306-15643650,+,N/A,N/A,257,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000020,hsa_circDDI2_011,N/A,N/A,N/A,DDI2,NM_032341,chr1:15964801-15978390,chr1:15638306-15651895,+,hsa_circRNA_100067,ASCRP3000292,551,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010058,hsa_circDDI2_014,N/A,N/A,N/A,DDI2,NM_032341,chr1:15970016-15976318,chr1:15643521-15649823,+,hsa_circRNA_010058,ASCRP3012762,233,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010059,hsa_circDDI2_015,N/A,N/A,N/A,DDI2,NM_032341,chr1:15970016-15978390,chr1:15643521-15651895,+,N/A,N/A,423,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0004095,hsa_circDDI2_016,N/A,N/A,N/A,DDI2,NM_032341,chr1:15976214-15978390,chr1:15649719-15651895,+,N/A,N/A,294,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110962,hsa_circDDI2_018,N/A,N/A,N/A,DDI2,ENST00000480945.1,chr1:15983111-15987654,chr1:15656616-15661159,+,N/A,N/A,1386,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0000021,hsa_circPLEKHM2_005,N/A,N/A,N/A,PLEKHM2,NM_015164,chr1:16044387-16047883,chr1:15717892-15721388,+,hsa_circRNA_100068,ASCRP3008015,435,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002733,hsa_circPLEKHM2_015,N/A,N/A,N/A,PLEKHM2,NM_015164,chr1:16046228-16047883,chr1:15719733-15721388,+,hsa_circRNA_100069,ASCRP3004133,247,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010113,hsa_circSPEN_012,N/A,N/A,N/A,SPEN,NM_015001,chr1:16237595-16242774,chr1:15911100-15916279,+,N/A,N/A,353,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0111005,hsa_circSPEN_016,N/A,N/A,N/A,SPEN,ENST00000375759.3,chr1:16242622-16248844,chr1:15916127-15922349,+,N/A,N/A,607,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0010358,hsa_circUBR4_069,N/A,N/A,N/A,UBR4,NM_020765,chr1:19499357-19501527,chr1:19172863-19175033,-,hsa_circRNA_100073,ASCRP3003586,748,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0003777,hsa_circUBR4_045,N/A,N/A,N/A,UBR4,NM_020765,chr1:19510304-19511780,chr1:19183810-19185286,-,hsa_circRNA_100074,ASCRP3005799,434,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111590,hsa_circUBR4_017,N/A,N/A,N/A,UBR4,ENST00000375267.2,chr1:19519926-19523759,chr1:19193432-19197265,-,N/A,N/A,250,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111712,hsa_circOTUD3_002,N/A,N/A,N/A,OTUD3,NM_015207,chr1:20216877-20220973,chr1:19890384-19894480,+,N/A,N/A,262,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111714,hsa_circOTUD3_008,N/A,N/A,N/A,OTUD3,NM_015207,chr1:20230759-20231480,chr1:19904266-19904987,+,N/A,N/A,229,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111811,hsa_circHP1BP3_031,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21071236-21100103,chr1:20744743-20773610,-,N/A,N/A,1365,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3"
hsa_circ_0111814,hsa_circHP1BP3_008,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21071236-21107033,chr1:20744743-20780540,-,N/A,N/A,1815,"ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3, UTR5"
hsa_circ_0006927,hsa_circHP1BP3_040,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21074036-21076375,chr1:20747543-20749882,-,N/A,N/A,272,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010440,hsa_circHP1BP3_039,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21076215-21076375,chr1:20749722-20749882,-,hsa_circRNA_100078,ASCRP3001769,160,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008765,hsa_circHP1BP3_038,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21076215-21076468,chr1:20749722-20749975,-,hsa_circRNA_008765,ASCRP3007471,253,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON"
hsa_circ_0000023,hsa_circHP1BP3_029,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21076215-21100103,chr1:20749722-20773610,-,hsa_circRNA_000023,ASCRP3003920,791,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0005553,hsa_circHP1BP3_033,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21097566,chr1:20757165-20771073,-,N/A,N/A,471,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000024,hsa_circHP1BP3_027,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21100103,chr1:20757165-20773610,-,N/A,N/A,631,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0004493,hsa_circHP1BP3_019,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21103243,chr1:20757165-20776750,-,N/A,N/A,785,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010444,hsa_circHP1BP3_011,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21106404,chr1:20757165-20779911,-,N/A,N/A,885,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0002437,hsa_circHP1BP3_006,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21083658-21107033,chr1:20757165-20780540,-,hsa_circRNA_100079,ASCRP3009674,1081,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0002238,hsa_circHP1BP3_026,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21091869-21100103,chr1:20765376-20773610,-,N/A,N/A,540,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0010445,hsa_circHP1BP3_005,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21091869-21107033,chr1:20765376-20780540,-,N/A,N/A,990,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0111823,hsa_circHP1BP3_025,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21094076-21100103,chr1:20767583-20773610,-,N/A,N/A,385,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111825,hsa_circHP1BP3_004,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21094076-21107033,chr1:20767583-20780540,-,N/A,N/A,835,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0005782,hsa_circHP1BP3_024,N/A,N/A,N/A,HP1BP3,NM_016287,chr1:21097422-21100103,chr1:20770929-20773610,-,hsa_circRNA_100080,ASCRP3000363,304,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111827,hsa_circHP1BP3_016,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21097422-21103243,chr1:20770929-20776750,-,N/A,N/A,458,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0111828,hsa_circHP1BP3_003,N/A,N/A,N/A,HP1BP3,ENST00000312239.5,chr1:21097422-21107033,chr1:20770929-20780540,-,N/A,N/A,754,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
